common,scientific,family,suborder,infraorder,parvorder,genus,species,
Udzungwa red colobus,Piliocolobus gordonorum,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,gordonorum,
Zanzibar red colobus,Piliocolobus kirkii,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,kirkii,
Lang's red colobus,Piliocolobus langi,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,langi,
Ulindi River red colobus,Piliocolobus lulindicus,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,lulindicus,
Oustalet's red colobus,Piliocolobus oustaleti,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,oustaleti,
Lomami red colobus,Piliocolobus parmentieri,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,parmentieri,
Pennant's colobus,Piliocolobus pennantii,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,pennantii,
Preuss's red colobus,Piliocolobus preussi,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,preussi,
Tana River red colobus,Piliocolobus rufomitratus,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,rufomitratus,
Semliki red colobus,Piliocolobus semlikiensis,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,semlikiensis,
Ugandan red colobus,Piliocolobus tephrosceles,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,tephrosceles,
Tshuapa red colobus,Piliocolobus tholloni,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,tholloni,
Miss Waldron's red colobus,Piliocolobus waldronae,Cercopithecidae,Haplorrhini,,Catarrhini,Piliocolobus,waldronae,
Olive colobus,Procolobus verus,Cercopithecidae,Haplorrhini,,Catarrhini,Procolobus,verus,
Kashmir gray langur,Semnopithecus ajax,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,ajax,
Northern plains gray langur,Semnopithecus entellus,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,entellus,
Nilgiri langur,Semnopithecus johnii,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,johnii,
Tarai gray langur,Semnopithecus hector,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,hector,
Black-footed gray langur,Semnopithecus hypoleucos,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,hypoleucos,
Tufted gray langur,Semnopithecus priam,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,priam,
Nepal gray langur,Semnopithecus schistaceus,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,schistaceus,
Purple-faced langur,Semnopithecus vetulus,Cercopithecidae,Haplorrhini,,Catarrhini,Semnopithecus,vetulus,
East Javan langur,Trachypithecus auratus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,auratus,
Tenasserim lutung,Trachypithecus barbei,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,barbei,
Indochinese grey langur,Trachypithecus crepusculus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,crepusculus,
Silvery lutung or silvered leaf monkey,Trachypithecus cristatus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,cristatus,
Delacour's langur,Trachypithecus delacouri,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,delacouri,
Indochinese black langur,Trachypithecus ebenus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,ebenus,
François' langur,Trachypithecus francoisi,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,francoisi,
Gee's golden langur,Trachypithecus geei,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,geei,
Germain's langur,Trachypithecus germaini,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,germaini,
Hatinh langur,Trachypithecus hatinhensis,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,hatinhensis,
Laotian langur,Trachypithecus laotum,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,laotum,
White-headed langur,Trachypithecus leucocephalus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,leucocephalus,
Annamese langur,Trachypithecus margarita,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,margarita,
West Javan langur,Trachypithecus mauritius,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,mauritius,
Shan State langur,Trachypithecus melamera,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,melamera,
Dusky leaf monkey,Trachypithecus obscurus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,obscurus,
Phayre's leaf monkey,Trachypithecus phayrei,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,phayrei,
Capped langur,Trachypithecus pileatus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,pileatus,
White-headed langur,Trachypithecus poliocephalus,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,poliocephalus,
Popa langur,Trachypithecus popa,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,popa,
Selangor silvered langur,Trachypithecus selangorensis,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,selangorensis,
Shortridge's langur,Trachypithecus shortridgei,Cercopithecidae,Haplorrhini,,Catarrhini,Trachypithecus,shortridgei,
Black-and-white langur,Presbytis bicolor,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,bicolor,
Miller's langur,Presbytis canicrus,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,canicrus,
Javan surili,Presbytis comata,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,comata,
Sarawak surili,Presbytis chrysomelas,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,chrysomelas,
Raffles banded langur,Presbytis femoralis,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,femoralis,
White-fronted surili,Presbytis frontata,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,frontata,
Hose's langur,Presbytis hosei,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,hosei,
Black-crested Sumatran langur,Presbytis melalophos,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,melalophos,
Mitered langur,Presbytis mitrata,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,mitrata,
Natuna Island surili,Presbytis natunae,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,natunae,
East Sumatran banded langur,Presbytis percura,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,percura,
Mentawai langur or joja,Presbytis potenziani,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,potenziani,
Robinson's banded langur,Presbytis robinsoni,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,robinsoni,
Maroon leaf monkey,Presbytis rubicunda,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,rubicunda,
Saban grizzled langur,Presbytis sabana,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,sabana,
White-thighed surili,Presbytis siamensis,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,siamensis,
Siberut langur,Presbytis siberu,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,siberu,
Black Sumatran langur,Presbytis sumatrana,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,sumatrana,
Thomas's langur,Presbytis thomasi,Cercopithecidae,Haplorrhini,,Catarrhini,Presbytis,thomasi,
Gray-shanked douc,Pygathrix cinerea,Cercopithecidae,Haplorrhini,,Catarrhini,Pygathrix,cinerea,
Red-shanked douc,Pygathrix nemaeus,Cercopithecidae,Haplorrhini,,Catarrhini,Pygathrix,nemaeus,
Black-shanked douc,Pygathrix nigripes,Cercopithecidae,Haplorrhini,,Catarrhini,Pygathrix,nigripes,
Tonkin snub-nosed monkey,Rhinopithecus avunculus,Cercopithecidae,Haplorrhini,,Catarrhini,Rhinopithecus,avunculus,
Black snub-nosed monkey,Rhinopithecus bieti,Cercopithecidae,Haplorrhini,,Catarrhini,Rhinopithecus,bieti,
Gray snub-nosed monkey,Rhinopithecus brelichi,Cercopithecidae,Haplorrhini,,Catarrhini,Rhinopithecus,brelichi,
Golden snub-nosed monkey,Rhinopithecus roxellana,Cercopithecidae,Haplorrhini,,Catarrhini,Rhinopithecus,roxellana,
Myanmar snub-nosed monkey,Rhinopithecus strykeri,Cercopithecidae,Haplorrhini,,Catarrhini,Rhinopithecus,strykeri,
Proboscis monkey,Nasalis larvatus,Cercopithecidae,Haplorrhini,,Catarrhini,Nasalis,larvatus,
Pig-tailed langur,Simias concolor,Cercopithecidae,Haplorrhini,,Catarrhini,Simias,concolor,
Western grey gibbon,Hylobates abbotti,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,abbotti,
Agile gibbon,Hylobates agilis,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,agilis,
Bornean white-bearded gibbon,Hylobates albibarbis,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,albibarbis,
Eastern grey gibbon,Hylobates funereus,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,funereus,
Kloss's gibbon,Hylobates klossii,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,klossii,
Lar gibbon,Hylobates lar,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,lar,
Silvery gibbon,Hylobates moloch,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,moloch,
Müller's gibbon,Hylobates muelleri,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,muelleri,
Pileated gibbon,Hylobates pileatus,Hylobatidae,Haplorrhini,,Catarrhini,Hylobates,pileatus,
Western hoolock gibbon,Hoolock hoolock,Hylobatidae,Haplorrhini,,Catarrhini,Hoolock,hoolock,
Eastern hoolock gibbon,Hoolock leuconedys,Hylobatidae,Haplorrhini,,Catarrhini,Hoolock,leuconedys,
Skywalker hoolock gibbon,Hoolock tianxing,Hylobatidae,Haplorrhini,,Catarrhini,Hoolock,tianxing,
Siamang,Symphalangus syndactylus,Hylobatidae,Haplorrhini,,Catarrhini,Symphalangus,syndactylus,
Northern buffed-cheeked gibbon,Nomascus annamensis,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,annamensis,
Black crested gibbon,Nomascus concolor,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,concolor,
Yellow-cheeked gibbon,Nomascus gabriellae,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,gabriellae,
Hainan black crested gibbon,Nomascus hainanus,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,hainanus,
Northern white-cheeked gibbon,Nomascus leucogenys,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,leucogenys,
Eastern black crested gibbon,Nomascus nasutus,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,nasutus,
Southern white-cheeked gibbon,Nomascus siki,Hylobatidae,Haplorrhini,,Catarrhini,Nomascus,siki,
Bornean orangutan,Pongo pygmaeus,Hominidae,Haplorrhini,,Catarrhini,Pongo,pygmaeus,
Sumatran orangutan,Pongo abelii,Hominidae,Haplorrhini,,Catarrhini,Pongo,abelii,
Tapanuli orangutan,Pongo tapanuliensis,Hominidae,Haplorrhini,,Catarrhini,Pongo,tapanuliensis,
Western gorilla,Gorilla gorilla,Hominidae,Haplorrhini,,Catarrhini,Gorilla,gorilla,
Eastern gorilla,Gorilla beringei,Hominidae,Haplorrhini,,Catarrhini,Gorilla,beringei,
Bonobo or pygmy chimpanzee,Pan paniscus,Hominidae,Haplorrhini,,Catarrhini,Pan,paniscus,
Chimpanzee,Pan troglodytes,Hominidae,Haplorrhini,,Catarrhini,Pan,troglodytes,
Human,Homo sapiens,Hominidae,Haplorrhini,,Catarrhini,Homo,sapiens,
